,Make,Series,Model,Manufacturer code,First registration date,Year of manufacture,Mileage (read),Chassis number,Engine number,Gearbox number,Matching numbers,Previous owners,Body style,Power (kW/hp),Cubic capacity (ccm),Cylinders,Doors,Steering,Gearbox,Gears,Transmission,Front breaks,Rear breaks,Fuel type,Price (£)
9028,Benz,Dauphine,8/20 PS,,06/1914,1914,"5,600 km",16196,16196,Not provided,Yes,2,Convertible (Roadster),15/20,1940,4,1,Right (RHD),Manual,4,Not provided,Not provided,Not provided,Petrol,rice on request
9029,Mercedes-Benz,Vitesse,220 CE,,01/1993,1993,"82,100 km",Not provided,Not provided,Not provided,Yes,1,Coupe,110/150,2199,4,2,Left (LHD),Automatic,Not provided,Rear,Disc,Disc,Petrol,"16,447"
9030,Volkswagen,Sierra,Beetle 1303 LS,,07/1979,1979,"200,000 km",1582037005,Not provided,Not provided,Yes,2,Convertible,37/50,1584,4,2,Left (LHD),Manual,Not provided,Rear,Not provided,Not provided,Petrol,"28,282"
9031,Lancia,M12,Fulvia Sport 1.3 S (Zagato),,Not provided,1969,"38,500 km",Not provided,Not provided,Not provided,No,Not provided,Coupe,66/90,1298,4,2,Left (LHD),Manual,Not provided,Front,Disc,Not provided,Petrol,"28,718"
9032,Porsche,Mustang,911 Carrera RS 2.7 (Sport),,05/1973,1973,"62,431 km",Not provided,Not provided,Not provided,No,Not provided,Coupe,154/210,2653,6,2,Not specified,Manual,Not provided,Rear,Not provided,Not provided,Petrol,"413,359"
9033,AC,Silver Cloud,Greyhound,,02/1961,1961,"16,728 km",Not provided,Not provided,Not provided,No,Not provided,Coupe,78/106 (Factory: 93/127),2215 (Factory: 1971),6,2,Not specified,Manual,4,Rear,Not provided,Not provided,Petrol,"113,043"
9034,Porsche,Fulvia,911 2.0,,05/1967,1967,"37,316 km",Not provided,Not provided,Not provided,No,Not provided,Coupe,96/130,1977,6,2,Not specified,Manual,Not provided,Rear,Disc,Disc,Petrol,"165,257"
9035,FIAT,Fulvia,600 D,,Not provided,1974,"64,349 km",Not provided,Not provided,Not provided,No,Not provided,Saloon (2-doors),18/25,767,4,2,Left (LHD),Manual,Not provided,Rear,Not provided,Not provided,Petrol,"6,918"
9036,Porsche,Silver Shadow,911 Carrera 2,,Not provided,1990,"200,357 km",Not provided,Not provided,Not provided,No,Not provided,Convertible (Targa),184/250,3600,6,2,Left (LHD),Manual,Not provided,Rear,Disc,Disc,Petrol,"95,682"
9037,Ford,E-Class,Thunderbird,,Not provided,1956,"76,337 km",Not provided,Not provided,Not provided,No,Not provided,Convertible,144/196,4778,8,2,Left (LHD),Manual,Not provided,Rear,Drum,Drum,Petrol,"54,389"
9038,Citroën,TR 3,2 CV,,Not provided,1958,"23,756 km",Not provided,Not provided,Not provided,No,Not provided,Saloon (4-doors),9/12,425,2,4,Left (LHD),Manual,Not provided,Front,Not provided,Not provided,Not provided,"6,918"
9039,Mini,Spitfire,850,,Not provided,1975,200 km,Not provided,Not provided,Not provided,No,Not provided,Saloon (2-doors),25/34,848,4,2,Left (LHD),Manual,Not provided,Front,Not provided,Not provided,Petrol,"19,102"
9040,Bentley,MGA,Continental GT V8 S,,10/2015,2015,"35,000 km",Not provided,Not provided,Not provided,No,Not provided,Coupe,388/528,3993,8,2,Not specified,Automatic,8,4WD,Disc,Disc,Petrol,"99,119"
9041,Mercedes-Benz,Fireflite,"450 SLC 5,0",,08/1979,1979,"127,000 mls",Not provided,Not provided,Not provided,Yes,Not provided,Coupe,177/240,5025,8,2,Left (LHD),Manual,3,Rear,Disc,Disc,Petrol,"39,595"
9042,Rover,911,2000 TC Prototype,,Not provided,1966,1 mls,P6B-12,Not provided,Not provided,No,Not provided,Saloon,110/150,3528,8,4,Left (LHD),Automatic,Not provided,Rear,Not provided,Not provided,Petrol,"52,500"
9043,FIAT,S 3,500 D,,01/1962,1962,"51,000 km",Not provided,Not provided,Not provided,No,2,Convertible,13/18,499,2,2,Left (LHD),Manual,4,Rear,Not provided,Not provided,Petrol,"19,058"
9044,BMW,404,650i,,05/2008,2008,"88,759 km",Not provided,Not provided,Not provided,No,Not provided,Coupe,270/367,4799,8,2,Not specified,Automatic,Not provided,Rear,Disc,Disc,Petrol,"20,799"
9045,Mercedes-Benz,GTV,814 F,,03/1990,1990,"33,734 km",Not provided,Not provided,Not provided,No,Not provided,Utility Vehicle (Firetruck),100/136,5917,6,4,Not specified,Manual,Not provided,Rear,Not provided,Not provided,Diesel,"12,966"
9046,Ferrari,Z Series,Dino 308 GT4,,03/1974,1974,"120,000 km",Not provided,Not provided,Not provided,Yes,Not provided,Coupe,188/255,2926,8,2,Left (LHD),Manual,Not provided,Rear,Disc,Disc,Petrol,"72,664"
9047,Willys,T-Type,MB,,Not provided,1942,"53,545 mls",Not provided,Not provided,Not provided,No,Not provided,4x4,44/60,2199,4,0,Left (LHD),Manual,Not provided,4WD,Not provided,Not provided,Petrol,"23,453"
9048,Jaguar,SL-Class,XJS 6.0 V12,,Not provided,1990,"53,000 mls",Not provided,Not provided,Not provided,No,Not provided,Convertible,227/309,5993,12,2,Right (RHD),Automatic,Not provided,Rear,Disc,Disc,Petrol,"24,950"
9049,Chevrolet,Mustang,Camaro Z28,,Not provided,1971,Not provided,Not provided,Not provided,Not provided,No,Not provided,Coupe,190/258,5733,8,Not provided,Left (LHD),Automatic,Not provided,Rear,Not provided,Not provided,Not provided,"29,950"
9050,Rolls-Royce,1200,25/30 HP,,Not provided,1938,Not provided,Not provided,Not provided,Not provided,No,Not provided,Saloon,55/75,4257,6,Not provided,Right (RHD),Automatic,Not provided,Rear,Not provided,Not provided,Petrol,"39,500"
9051,Dodge,135,D 8,,07/1938,1938,"32,641 km",Not provided,Not provided,Not provided,No,Not provided,Saloon (4-doors),64/87,3572,6,4,Left (LHD),Manual,Not provided,Rear,Not provided,Not provided,Petrol,"26,020"
9052,Rolls-Royce,Minor,25/30 HP,,Not provided,1936,Not provided,Not provided,Not provided,Not provided,No,Not provided,Saloon,55/75,4257,6,Not provided,Right (RHD),Automatic,Not provided,Rear,Not provided,Not provided,Petrol,"44,500"
9053,Bentley,Spitfire,Mark VI,,Not provided,1949,"7,974 mls",Not provided,Not provided,Not provided,No,> 6,Convertible,101/137,4566,6,2,Left (LHD),Manual,Not provided,Rear,Not provided,Not provided,Petrol,"121,789"
9054,Mercedes-Benz,600,190 E,,03/1990,1990,"279,000 km",WDB2010241A557103,Not provided,Not provided,No,5,Saloon (4-doors),87/118,1996,4,4,Left (LHD),Manual,4,Not provided,Disc,Disc,Not provided,rice on request
9055,Rolls-Royce,911,Silver Shadow I,,12/1968,1968,"99,455 mls",SRH5124,5124,Not provided,Yes,Not provided,Saloon,131/178,6230,8,4,Right (RHD),Automatic,Not provided,Rear,Not provided,Not provided,Petrol,"12,950"
9056,Volkswagen,22/50,Beetle 1302,,10/1971,1971,"89,500 km",Not provided,Not provided,Not provided,No,2,Saloon (2-doors),32/44,1285,4,2,Left (LHD),Manual,Not provided,Rear,Not provided,Not provided,Not provided,"15,577"
9057,Porsche,LG 45,911 2.2 T,,Not provided,1971,"77,341 km",Not provided,Not provided,Not provided,No,Not provided,Coupe,92/125,2195,6,2,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,"52,170"
9058,Lincoln,3 Series,Continental Mark V,,Not provided,1979,1 km,Not provided,Not provided,Not provided,No,Not provided,Coupe,117/159,6587,8,2,Left (LHD),Automatic,Not provided,Not provided,Not provided,Not provided,Petrol,"9,529"
9059,Citroën,Z Series,ID 19,,Not provided,1959,"72,836 km",Not provided,Not provided,Not provided,No,Not provided,Saloon (4-doors),46/62,1898,4,4,Left (LHD),Manual,Not provided,Front,Not provided,Not provided,Not provided,"12,618"
9060,FIAT,928,Coupé 2.0 20V,,03/1998,1998,"57,152 km",Not provided,Not provided,Not provided,No,Not provided,Coupe,108/147,1998,5,2,Left (LHD),Manual,Not provided,Front,Disc,Disc,Petrol,"16,969"
9061,Mercedes-AMG,280,GT-R Bussink Speedlegend,,Not provided,2019,"1,812 mls",Not provided,Not provided,Not provided,No,Not provided,Convertible (Roadster),625/850,3982,8,2,Right (RHD),Semi-Automatic,7,Rear,Disc,Disc,Petrol,rice on request
9062,Rolls-Royce,E-Type,40/50 HP Silver Ghost,,Not provided,1912,1 km,2145,Not provided,Not provided,No,Not provided,Convertible (Tourer),55/75,7428,6,Not provided,Right (RHD),Manual,Not provided,Rear,Drum,Drum,Petrol,"780,000"
9063,Rolls-Royce,XK,Phantom VI,,Not provided,1972,1 km,PRH 4709,Not provided,Not provided,No,Not provided,Saloon (4-doors),162/220,6230,8,4,Right (RHD),Automatic,4,Rear,Drum,Drum,Petrol,"125,000"
9064,Maserati,Mini,3500 GTI Touring,,Not provided,1962,1 km,10102328,Not provided,Not provided,No,Not provided,Coupe,173/235,3485,6,2,Right (RHD),Manual,Not provided,Rear,Not provided,Not provided,Petrol,"215,000"
9065,Mercedes-Benz,Mustang,350 SL,,Not provided,1974,1 km,Not provided,Not provided,Not provided,No,Not provided,Convertible (Roadster),147/200,3499,8,2,Not specified,Manual,Not provided,Rear,Disc,Disc,Petrol,"18,057"
9066,Mercedes-Benz,911,SLK 200,,Not provided,1999,1 km,Not provided,Not provided,Not provided,No,Not provided,Convertible (Roadster),100/136,1998,4,2,Not specified,Manual,Not provided,Rear,Disc,Disc,Petrol,"5,004"
9067,Datsun,Europa,280 Z,,Not provided,1978,1 km,Not provided,Not provided,Not provided,No,Not provided,Coupe,103/140,2753,6,2,Not specified,Manual,Not provided,Rear,Disc,Disc,Petrol,"19,798"
9068,MG,Mulsanne,MGB GT,,Not provided,1975,1 km,Not provided,Not provided,Not provided,No,Not provided,Coupe,63/86,1798,4,2,Not specified,Manual,Not provided,Rear,Disc,Drum,Petrol,"20,450"
9069,Mercedes-Benz,1275,450 SL,,Not provided,1975,1 km,Not provided,Not provided,Not provided,No,Not provided,Convertible (Roadster),134/182,4520,8,2,Not specified,Automatic,3,Rear,Disc,Disc,Petrol,"9,442"
9070,Jaguar,Spitfire,Mk VII,,Not provided,1952,1 km,Not provided,Not provided,Not provided,No,Not provided,Saloon,118/160,3442,6,Not provided,Not specified,Manual,Not provided,Rear,Not provided,Not provided,Petrol,"28,282"
9071,Jaguar,SL-Class,E-Type V12 (2+2),,Not provided,1972,1 km,Not provided,Not provided,Not provided,No,Not provided,Coupe,203/276,5343,12,2,Not specified,Manual,Not provided,Rear,Disc,Disc,Petrol,rice on request
9072,Mercedes-Benz,Transporter,560 SL,,07/1987,1987,"74,247 mls",WDB10704512019490,11696212010043,72231202260042,Yes,Not provided,Convertible (Roadster),169/230,5547,8,2,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,"47,689"
9073,Porsche,3 Series,Boxster,,09/1997,1997,"25,000 km",Not provided,Not provided,Not provided,No,2,Convertible (Roadster),150/204,2480,6,2,Left (LHD),Manual,Not provided,Rear,Disc,Disc,Petrol,"26,020"
9074,DeSoto,911,Fireflite Indy 500 Pace Car,,Not provided,1956,"15,241 mls",Not provided,Not provided,Not provided,No,> 6,Convertible,190/258,5400,8,0,Left (LHD),Automatic,Not provided,Rear,Not provided,Not provided,Petrol,"78,277"
9075,Alfa Romeo,911,GTV 2.0 Twin Spark,,Not provided,1995,"190,000 km",Not provided,Not provided,Not provided,No,Not provided,Coupe (2-doors),110/150,1970,4,3,Left (LHD),Manual,5,Front,Disc,Disc,Petrol,"6,092"
9076,Mercedes-Benz,350,S 600 L,,08/2000,2000,"59,000 km",Not provided,Not provided,Not provided,Yes,Not provided,Saloon (4-doors),270/367,5786,12,4,Left (LHD),Automatic,5,Rear,Disc,Disc,Petrol,"26,020"
9077,FIAT,Mustang,126,,Not provided,1978,"47,951 km",Not provided,Not provided,Not provided,No,Not provided,Saloon (2-doors),18/24,700,2,2,Left (LHD),Manual,Not provided,Rear,Not provided,Not provided,Petrol,"6,092"
9078,Alfa Romeo,911,GTV 2.0 V6 Turbo,,Not provided,1996,"211,814 km",Not provided,Not provided,Not provided,No,Not provided,Coupe (2-doors),149/202,1996,6,3,Left (LHD),Manual,Not provided,Front,Disc,Disc,Petrol,"6,962"
9079,BMW,300,320i,,Not provided,1999,"173,112 km",Not provided,Not provided,Not provided,No,Not provided,Saloon (4-doors),110/150,1991,6,4,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,"9,573"
9080,FIAT,300,"Panda 4x4 1,0",,Not provided,1986,"232,000 km",Not provided,Not provided,Not provided,No,Not provided,Small car (Small Car),37/50,999,4,3,Left (LHD),Manual,Not provided,4WD,Not provided,Not provided,Petrol,"6,092"
9081,Jaguar,SL-Class,Sovereign 3.6,,Not provided,1989,"121,552 km",Not provided,Not provided,Not provided,No,Not provided,Saloon (4-doors),165/224,3590,6,4,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,"4,264"
9082,FIAT,SL-Class,500 L,,Not provided,1972,"67,100 km",Not provided,Not provided,Not provided,No,Not provided,Saloon (2-doors),13/18,499,2,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,"7,745"
9083,Lancia,SL-Class,Fulvia,,Not provided,1967,"108,842 km",Not provided,Not provided,Not provided,No,Not provided,Saloon,43/58,1091,4,Not provided,Left (LHD),Manual,Not provided,Front,Not provided,Not provided,Petrol,"8,267"
9084,Maserati,SL-Class,Biturbo 2.0,,Not provided,1983,"72,118 km",Not provided,Not provided,Not provided,No,Not provided,Saloon (2-doors),132/180,1995,6,2,Left (LHD),Manual,Not provided,Rear,Not provided,Not provided,Petrol,"5,657"
9085,Jaguar,SL-Class,Mk II 2.4,,03/1961,1961,"72,428 km",125169,Not provided,Not provided,Yes,Not provided,Saloon,89/121,2483,6,4,Left (LHD),Manual,Not provided,Rear,Disc,Disc,Petrol,"26,890"
9086,Dodge,500,Viper RT/10,,12/1992,1992,"24,983 mls",1B3BR65E5NV100161,Not provided,Not provided,Yes,Not provided,Convertible (Targa),299/406,7990,10,2,Left (LHD),Manual,6,Rear,Disc,Disc,Petrol,"74,753"
9087,Chevrolet,3 Series,Camaro Z28,,12/1979,1979,"15,115 mls",1Q87L9N610039,Not provided,Not provided,Yes,Not provided,Coupe,127/173,5657,8,Not provided,Left (LHD),Automatic,Not provided,Rear,Not provided,Not provided,Not provided,"33,939"
9088,Chevrolet,SL-Class,Bel Air Hardtop Coupe,,12/1957,1957,"68,639 mls",C57A168216,Not provided,Not provided,No,Not provided,Coupe,162/220,4637,8,2,Left (LHD),Automatic,Not provided,Rear,Not provided,Not provided,Petrol,"34,548"
9089,DKW,Phantom,Auto Union 1000 Universal,,07/1962,1962,"27,221 km",6822701527,Not provided,Not provided,Yes,Not provided,Estate,32/44,981,3,3,Left (LHD),Manual,Not provided,Front,Not provided,Not provided,Petrol,"15,925"
9090,BMW,Plus 4,2000 CS,,12/1967,1967,362 mls,Not provided,Not provided,Not provided,Yes,Not provided,Coupe,88/120,1990,4,2,Left (LHD),Manual,4,Rear,Disc,Not provided,Petrol,"38,638"
9091,Chevrolet,Plus 8,Corvette Stingray,,12/1976,1976,"9,763 mls",1Z37L6S412904,Not provided,Not provided,Yes,Not provided,Coupe (Targa),154/210,5735,8,2,Left (LHD),Automatic,Not provided,Rear,Disc,Disc,Petrol,"25,759"
9092,Cadillac,6C,DeVille Convertible,,12/1968,1968,"81,868 mls",F8242485,Not provided,Not provided,Yes,Not provided,Convertible,276/375 (Factory: 250/340),7700,8,2,Left (LHD),Automatic,Not provided,Rear,Not provided,Not provided,Petrol,"25,237"
9093,Ford,Flaminia,Thunderbird,,12/1962,1962,"56,333 mls",ZY85Z111312,Not provided,Not provided,Yes,Not provided,Convertible,221/300,6390,8,2,Left (LHD),Automatic,Not provided,Rear,Not provided,Not provided,Not provided,"35,157"
9094,Jaguar,4 1/2 Litre,E-Type (2+2),,12/1970,1970,"8,108 mls",P1R43840bw,Not provided,Not provided,Yes,Not provided,Coupe,195/265,4235,6,2,Left (LHD),Automatic,Not provided,Rear,Not provided,Not provided,Petrol,"47,863"
9095,BMW,Vanquish,600,,12/1958,1958,"1,531 mls",120563,Not provided,Not provided,Yes,Not provided,Small car (Small Car),15/20,582,2,Not provided,Left (LHD),Manual,Not provided,Rear,Not provided,Not provided,Not provided,"31,328"
9096,Austin-Healey,SL-Class,100/6 (BN4),,06/1958,1958,"81,028 mls",BN4L-0-32750,Not provided,Not provided,Yes,Not provided,Convertible,86/117,2639,6,2,Left (LHD),Manual,Not provided,Rear,Not provided,Not provided,Petrol,"43,860"
9097,FIAT,S 2,500 C Belvedere,,Not provided,1953,"10,000 km",Not provided,Not provided,Not provided,No,Not provided,Estate,12/16,569,4,Not provided,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,"10,443"
9098,Mercedes-Benz,2600,"280 SE 3,5",,03/1971,1971,"71,411 km",Not provided,Not provided,Not provided,No,Not provided,Convertible,147/200,3499,8,2,Not specified,Automatic,Not provided,Rear,Disc,Disc,Petrol,"295,878"
9099,Citroën,Mark VI,DS 19,,Not provided,1958,"36,500 mls",Not provided,Not provided,Not provided,No,Not provided,Saloon (4-doors),55/75,1911,4,4,Left (LHD),Manual,Not provided,Front,Not provided,Not provided,Not provided,"44,950"
9100,Jaguar,Continental,XK 150 3.4 S OTS,,Not provided,1958,1 km,Not provided,Not provided,Not provided,No,Not provided,Convertible (Roadster),187/254,3442,6,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,"172,741"
9101,Chrysler,Commodore,Newport,,Not provided,1964,"8,473 mls",Not provided,Not provided,Not provided,No,> 6,Saloon (4-doors),199/270,5900,8,4,Left (LHD),Automatic,Not provided,Rear,Not provided,Not provided,Petrol,"22,582"
9102,FIAT,Corniche,500 C Giardiniera,,Not provided,1951,"12,000 km",Not provided,Not provided,Not provided,No,Not provided,Estate,12/16,569,4,Not provided,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,"15,664"
9103,Saab,124,900 Turbo S,,09/1987,1987,"160,891 km",Not provided,Not provided,Not provided,No,> 6,Convertible,129/175,1985,4,2,Left (LHD),Manual,Not provided,Front,Disc,Disc,Petrol,"15,621"
9104,Ford,D6,Lotus Cortina,,Not provided,1965,Not provided,Not provided,Not provided,Not provided,No,Not provided,Saloon (2-doors),77/105,1558,4,2,Left (LHD),Manual,4,Rear,Disc,Drum,Petrol,"21,321"
9105,Austin-Healey,911,3000 Mk III (BJ8),,Not provided,1967,"66,217 km",Not provided,Not provided,Not provided,No,Not provided,Convertible (Roadster),109/148,2912,6,2,Left (LHD),Manual,Not provided,Rear,Disc,Drum,Petrol,"56,521"
9106,Ford,280,Escort 1100,,Not provided,1968,"83,289 km",Not provided,Not provided,Not provided,No,Not provided,Saloon (2-doors),74/100 (Factory: 29/40),1998 (Factory: 1098),4,2,Left (LHD),Manual,Not provided,Rear,Not provided,Not provided,Not provided,"56,130"
9107,Mercedes-Benz,911,230 SL,,Not provided,1966,"72,619 mls",Not provided,Not provided,Not provided,No,> 6,Convertible,110/150,2306,6,2,Left (LHD),Automatic,Not provided,Rear,Disc,Drum,Petrol,"80,496"
9108,Chevrolet,Giulia,Corvette Sting Ray,,Not provided,1963,"2,175 mls",Not provided,Not provided,Not provided,No,> 6,Coupe,221/300,5359,8,2,Left (LHD),Manual,Not provided,Rear,Drum,Drum,Not provided,"139,193"
9109,Porsche,SL-Class,911 Carrera 3.2,,Not provided,1986,"101,287 mls",Not provided,Not provided,Not provided,No,> 6,Coupe,170/231,3164,6,2,Left (LHD),Manual,Not provided,Rear,Disc,Disc,Petrol,"67,443"
9110,Maserati,911,Ghibli,,Not provided,1970,"14,022 mls",Not provided,Not provided,Not provided,No,> 6,Coupe,228/310,4719,8,2,Left (LHD),Manual,Not provided,Rear,Not provided,Not provided,Petrol,"254,542"
9111,Alfa Romeo,E-Type,Giulia Sprint Speciale,,Not provided,1966,"2,032 km",381279,AR00121*01231,Not provided,Yes,Not provided,Coupe,82/112,1570,4,2,Left (LHD),Manual,Not provided,Rear,Not provided,Not provided,Petrol,rice on request
9112,Alfa Romeo,6C,1900 C Super Sprint Touring,,02/1953,1953,"39,832 km",Not provided,Not provided,Not provided,No,> 6,Coupe,85/115,1975,4,2,Left (LHD),Manual,Not provided,Rear,Not provided,Not provided,Petrol,"258,893"
9113,Delage,Ponton,D8,,Not provided,1931,Not provided,33729,Not provided,Not provided,No,1,Convertible (Tourer),88/120,4061,8,2,Left (LHD),Manual,Not provided,Rear,Not provided,Not provided,Petrol,rice on request
9114,Jaguar,DB 2/4,SS 1,,06/1933,1933,"1,353 mls",136346,130232,Not provided,Yes,4,Coupe,50/68,2663,6,Not provided,Right (RHD),Manual,Not provided,Rear,Drum,Drum,Petrol,rice on request
9115,Jaguar,250,SS 1,,Not provided,1936,72 mls,Not provided,Not provided,Not provided,No,Not provided,Convertible (Tourer),50/68,2663,6,2,Right (RHD),Manual,Not provided,Rear,Drum,Drum,Petrol,rice on request
9116,BMW,Spitfire,3200 CS,,04/1964,1964,"64,500 km",Not provided,Not provided,Not provided,No,Not provided,Coupe,118/160,3168,8,2,Left (LHD),Manual,Not provided,Rear,Not provided,Not provided,Petrol,"95,725"
9117,Ashley Laminates,Silver Ghost,GT,,10/1969,1969,Not provided,Not provided,Not provided,Not provided,No,Not provided,Coupe,59/80,1275,4,2,Right (RHD),Manual,Not provided,Rear,Not provided,Not provided,Not provided,"26,020"
9118,Mercedes-Benz,6 1/2 Litre,280 SL,,06/1969,1969,Not provided,Not provided,Not provided,Not provided,Yes,Not provided,Convertible (Roadster),125/170,2778,6,2,Left (LHD),Automatic,Not provided,Rear,Disc,Disc,Petrol,"100,512"
9119,Audi,124,A2 1.4,,01/2004,2004,"59,000 km",Not provided,Not provided,Not provided,No,1,Saloon (Van),55/75,1390,4,5,Left (LHD),Manual,5,Front,Disc,Not provided,Petrol,"13,053"
9120,FIAT,220,124 Spider BS,,Not provided,1970,"75,000 km",124BS1*0011091*,Not provided,Not provided,No,Not provided,Convertible,81/110,1608,4,2,Left (LHD),Manual,Not provided,Rear,Not provided,Not provided,Petrol,"17,405"
9121,Mercedes-Benz,SL-Class,"450 SEL 6,9",,01/1975,1975,"57,000 km",Not provided,Not provided,Not provided,Yes,Not provided,Saloon (4-doors),210/286,6834,8,4,Left (LHD),Automatic,3,Rear,Disc,Disc,Petrol,"43,424"
9122,MG,SL-Class,MGB,,01/1972,1972,"9,800 km",Not provided,Not provided,Not provided,No,Not provided,Convertible (Roadster),71/96,1798,4,2,Left (LHD),Manual,Not provided,Rear,Disc,Not provided,Petrol,"18,275"
9123,Bentley,Torino,S 2,,01/1961,1961,"69,000 km",B341DV,P4345,Not provided,Yes,Not provided,Saloon (4-doors),147/200,6 (Factory: 6230),8,4,Right (RHD),Automatic,Not provided,Rear,Not provided,Not provided,Petrol,"37,420"
9124,Mercedes-Benz,Fairlane,280 SE,,06/1970,1970,Not provided,Not provided,Not provided,Not provided,Yes,Not provided,Convertible,118/160,2778,6,2,Left (LHD),Manual,Not provided,Rear,Disc,Disc,Petrol,"173,872"
9125,Mercedes-Benz,4/4,300 SL Roadster,,Not provided,1961,"4,117 km",Not provided,Not provided,Not provided,Yes,Not provided,Convertible (Roadster),158/215,2996,6,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,"1,173,940"
9126,Ferrari,3000,348 TS,,04/1993,1991,"50,926 km",ZFFFA36S000095244,32620,Not provided,Yes,3,Coupe (Targa),221/300,3405,8,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,"73,970"
9127,Bentley,4/4,S3 Mulliner Park Ward DHC,,Not provided,1963,1 km,B424LCN,Not provided,Not provided,No,Not provided,Convertible (Coupe),147/200,6230,8,Not provided,Right (RHD),Manual,Not provided,Rear,Not provided,Not provided,Petrol,"305,000"
9128,Rolls-Royce,275,25/30 HP,,Not provided,1938,1 km,GGR58,Not provided,Not provided,No,Not provided,Saloon,55/75,4257,6,4,Right (RHD),Manual,Not provided,Rear,Not provided,Not provided,Petrol,"74,000"
9129,Lagonda,911,V12,,Not provided,1939,1 km,14080,Not provided,Not provided,No,Not provided,Saloon (4-doors),1/1 (Factory: 132/180),1 (Factory: 4480),Not provided,Not provided,Right (RHD),Manual,4,Rear,Not provided,Not provided,Petrol,"145,000"
9130,Wolseley,280,Sixteen,,Not provided,1934,1 km,158312,Not provided,Not provided,No,Not provided,Saloon (4-doors),38/52,2025,6,4,Right (RHD),Manual,Not provided,Rear,Not provided,Not provided,Petrol,"18,000"
9131,Jaguar,E-Type,XK 150 SE FHC,,Not provided,1959,"49,000 mls",Not provided,Not provided,Not provided,No,Not provided,Coupe,157/213,3442,6,2,Right (RHD),Manual,Not provided,Rear,Drum,Drum,Petrol,"79,995"
9132,Mercedes-Benz,SL-Class,SL 500,,11/2002,2002,"44,630 km",Not provided,Not provided,Not provided,No,1,Convertible (Roadster),225/306,4966,8,2,Left (LHD),Automatic,5,Rear,Disc,Disc,Petrol,"26,063"
9133,Jaguar,V8,E-Type,,Not provided,1968,"33,389 km",Not provided,Not provided,Not provided,No,> 6,Coupe,195/265,4235,6,2,Left (LHD),Manual,Not provided,Rear,Not provided,Not provided,Petrol,"121,789"
9134,Ferrari,280,250 GT Pininfarina Coupe,,Not provided,1959,"69,837 km",Not provided,Not provided,Not provided,No,> 6,Coupe,177/240,2953,12,2,Left (LHD),Manual,4,Rear,Not provided,Not provided,Petrol,"413,359"
9135,Borgward,S-Class,Isabella Coupe,,06/1957,1957,"24,439 km",Not provided,Not provided,Not provided,No,1,Coupe,55/75,1493,4,2,Left (LHD),Manual,Not provided,Rear,Not provided,Not provided,Petrol,"39,117"
9136,Volvo,Vanquish,P 121,,12/1966,1966,"66,011 km",Not provided,Not provided,Not provided,No,2,Saloon,74/101 (Factory: 55/75),1990 (Factory: 1778),4,2,Left (LHD),Manual,Not provided,Rear,Drum,Drum,Petrol,"14,750"
9137,Ford,Range Rover,Mustang 289,,Not provided,1966,"34,200 mls",Not provided,Not provided,Not provided,No,> 6,Coupe (Fastback),1/1 (Factory: 168/228),1 (Factory: 4727),Not provided,2,Left (LHD),Automatic,Not provided,Rear,Drum,Drum,Petrol,"60,873"
9138,Aston Martin,Range Rover,DBS V8,,Not provided,1973,"1,154 km",Not provided,Not provided,Not provided,No,> 6,Coupe,1/1 (Factory: 280/381),1 (Factory: 5341),Not provided,2,Left (LHD),Manual,Not provided,Rear,Disc,Not provided,Petrol,"143,588"
9139,Rolls-Royce,Continental,Corniche I,,Not provided,1984,"37,237 mls",Not provided,Not provided,Not provided,No,> 6,Convertible,1/1 (Factory: 155/211),1 (Factory: 6750),Not provided,2,Left (LHD),Automatic,3,Rear,Disc,Disc,Petrol,"63,092"
9140,Aston Martin,XJ,V8 Volante,,07/1981,1981,"91,587 km",Not provided,Not provided,Not provided,No,3,Convertible,224/305,5340,8,2,Left (LHD),Automatic,Not provided,Rear,Disc,Disc,Petrol,"147,504"
9141,Mercedes-Benz,Mk II,450 SE,,10/1974,1974,"120,468 km",WDB11603212031867,Not provided,Not provided,No,1,Saloon (4-doors),165/225,4520,8,4,Left (LHD),Automatic,Not provided,Rear,Disc,Disc,Petrol,"31,241"
9142,Jaguar,E-Class,E-Type,,05/1967,1967,"26,250 km",Not provided,Not provided,Not provided,Yes,2,Coupe,198/269,4235,6,2,Left (LHD),Manual,Not provided,Rear,Not provided,Not provided,Petrol,"126,183"
9143,Mercedes-Benz,Corvette,190 SL,,Not provided,1957,"56,400 km",1210407503177,Not provided,Not provided,No,2,Convertible (Roadster),77/105,1897,4,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,"108,779"
