,Make,Series,Model,Manufacturer code,First registration date,Year of manufacture,Mileage (read),Chassis number,Engine number,Gearbox number,Matching numbers,Previous owners,Body style,Power (kW/hp),Cubic capacity (ccm),Cylinders,Doors,Steering,Gearbox,Gears,Transmission,Front breaks,Rear breaks,Fuel type,Price (£)
5164,Mercedes-Benz,600,190 E,Serie 3,11/1985,1985,"170,244 km",Not provided,Not provided,Not provided,No,> 6,Saloon,90/122,1990,4,4,Left (LHD),Automatic,Not provided,Rear,Not provided,Not provided,Not provided,"3,916"
5165,Mercedes-Benz,190,190 E,E 38,07/1986,1986,"154,509 km",Not provided,Not provided,Not provided,No,> 6,Saloon,90/122,1990,4,4,Left (LHD),Automatic,Not provided,Rear,Not provided,Not provided,Not provided,"6,875"
5166,Mercedes-Benz,Merak,190 E,997.2,06/1986,1986,"332,109 km",Not provided,Not provided,Not provided,No,> 6,Saloon,90/122,1990,4,4,Left (LHD),Manual,Not provided,Rear,Not provided,Not provided,Not provided,"3,037"
5167,Mercedes-Benz,TR 4,SLK 200,Mexico,12/1996,1996,"350,372 km",Not provided,Not provided,Not provided,No,3,Convertible (Roadster),100/136,1998,4,2,Left (LHD),Manual,Not provided,Rear,Disc,Disc,Petrol,"3,394"
5168,Porsche,Taunus,Boxster,Kadett A,03/1999,1999,"208,333 km",Not provided,Not provided,Not provided,No,> 6,Convertible (Roadster),150/204,2480,6,2,Left (LHD),Automatic,Not provided,Rear,Disc,Disc,Petrol,"14,707"
5169,Renault,456,Mégane 1.6 e,XJ,06/1997,1997,"235,402 km",Not provided,Not provided,Not provided,No,4,Convertible,66/90,1598,4,2,Left (LHD),Manual,Not provided,Front,Disc,Drum,Petrol,608
5170,Porsche,900,Boxster,C 124,03/1997,1997,"62,069 km",Not provided,Not provided,Not provided,No,4,Convertible (Roadster),150/204,2480,6,2,Left (LHD),Automatic,Not provided,Rear,Disc,Disc,Petrol,"15,577"
5171,Suzuki,Mk V,SJ Samurai,W 202,02/1990,1990,"13,092 mls",Not provided,Not provided,Not provided,No,> 6,4x4 (Open),51/69,1298,4,3,Left (LHD),Manual,Not provided,4WD,Disc,Disc,Petrol,"17,318"
5172,FIAT,Sprite,Spider 2000,Typ 11,07/1980,1980,"2,997 mls",Not provided,Not provided,Not provided,No,> 6,Convertible (Roadster),76/103,2000,4,2,Left (LHD),Manual,Not provided,Rear,Disc,Disc,Petrol,"12,096"
5173,Mercedes-Benz,500,SLK 250,Serie I,03/2012,2012,"127,026 km",Not provided,Not provided,Not provided,No,1,Convertible (Roadster),150/204,1796,4,2,Left (LHD),Automatic,Not provided,Rear,Disc,Disc,Petrol,"19,928"
5174,Volkswagen,PL 17,Beetle 1302,ADO 13,06/1971,1971,"49,059 km",Not provided,Not provided,Not provided,No,> 6,Saloon (2-doors),32/44,1285,4,2,Left (LHD),Manual,Not provided,Rear,Not provided,Not provided,Not provided,"5,221"
5175,Rover,E-Class,Mini 1.3i,B3 / Typ 89,05/1997,1997,"114,300 km",Not provided,Not provided,Not provided,No,> 6,Saloon (2-doors),46/63,1275,4,2,Left (LHD),Manual,Not provided,Front,Disc,Disc,Petrol,"7,831"
5176,Mini,911,1000,Typ 116,02/1989,1989,"41,984 km",Not provided,Not provided,Not provided,No,> 6,Convertible,29/39,998,4,0,Left (LHD),Manual,Not provided,Front,Not provided,Not provided,Petrol,"13,837"
5177,Lotus,TR 6,Elise 111,"""G-Modell""",12/1997,1997,"123,499 mls",Not provided,Not provided,Not provided,No,1,Convertible (Roadster),107/145 (Factory: 90/122),1796,4,2,Left (LHD),Manual,Not provided,Rear,Disc,Disc,Petrol,"23,409"
5178,Burton,AN,Classic,W 112,05/1984,1984,"17,263 km",Not provided,Not provided,Not provided,No,4,Convertible (Roadster),21/29,602,2,4,Left (LHD),Manual,Not provided,Front,Not provided,Not provided,Petrol,"12,966"
5179,Peugeot,Ponton,304 Convertible,"""G-Modell""",08/1974,1974,"95,357 km",Not provided,Not provided,Not provided,No,1,Convertible,48/65,1300,4,2,Left (LHD),Manual,Not provided,Front,Not provided,Not provided,Petrol,"12,966"
5180,MG,2 CV,MGB,P 130,02/1972,1972,"39,376 km",Not provided,Not provided,Not provided,No,4,Convertible (Roadster),71/96,1798,4,2,Left (LHD),Manual,Not provided,Rear,Disc,Not provided,Petrol,"21,669"
5181,MG,500,MGB,W 116,06/1973,1973,"57,056 km",Not provided,Not provided,Not provided,No,2,Convertible (Roadster),71/96,1798,4,2,Left (LHD),Manual,Not provided,Rear,Disc,Not provided,Petrol,"21,669"
5182,Volkswagen,S-Class,Golf IV Cabrio 1.8,W 124,05/2001,2001,"193,565 km",Not provided,Not provided,Not provided,No,> 6,Convertible,55/75 (Factory: 66/90),1781,4,2,Left (LHD),Manual,Not provided,Front,Disc,Disc,Petrol,"5,221"
5183,Volkswagen,SL-Class,Beetle 1303 LS,B2 / Typ 81,02/1979,1979,"87,840 mls",Not provided,Not provided,Not provided,No,5,Convertible,37/50,1584,4,2,Left (LHD),Manual,Not provided,Rear,Not provided,Not provided,Petrol,"25,150"
5184,Alfa Romeo,328,Giulia GT 1300 Junior,C 190,01/1976,1976,"18,714 km",Not provided,Not provided,Not provided,No,1,Coupe,76/103 (Factory: 65/89),1290,4,2,Left (LHD),Manual,Not provided,Rear,Disc,Not provided,Petrol,"33,852"
5185,Mini,Sovereign,One,Serie I,03/2006,2006,"107,035 km",Not provided,Not provided,Not provided,No,1,Convertible,66/90,1598,4,2,Left (LHD),Manual,Not provided,Front,Disc,Disc,Petrol,"7,745"
5186,Mini,V8,Estate,Typ 2,01/1980,1980,"99,182 km",Not provided,Not provided,Not provided,No,4,Estate,43/58 (Factory: 33/45),1275 (Factory: 1098),4,0,Left (LHD),Manual,Not provided,Front,Not provided,Not provided,Petrol,"15,577"
5187,Mazda,XJ S,MX-5 1.6,ADO 30,02/1990,1990,"175,461 mls",Not provided,Not provided,Not provided,No,2,Convertible (Roadster),85/115,1598,4,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,"7,745"
5188,FIAT,SL-Class,124 Spider CS1,W 201,07/1977,1977,"79,410 mls",Not provided,Not provided,Not provided,No,> 6,Convertible,87/118,1800,4,2,Left (LHD),Manual,Not provided,Rear,Not provided,Not provided,Petrol,"9,486"
5189,Volkswagen,Mark VI,Golf IV Cabrio 1.8,"""G-Modell""",06/1999,1999,"110,095 km",Not provided,Not provided,Not provided,No,6,Convertible,66/90 (Factory: 55/75),1781,4,2,Left (LHD),Automatic,Not provided,Front,Disc,Disc,Petrol,"6,875"
5190,MG,Mark VI,MGC GT,993,02/1969,1969,"64,873 mls",Not provided,Not provided,Not provided,No,4,Coupe,108/147,2912,6,2,Left (LHD),Manual,Not provided,Rear,Disc,Drum,Petrol,"25,150"
5191,Saab,SL-Class,900 Turbo S,W 113,02/1987,1987,"99,620 km",Not provided,Not provided,Not provided,No,> 6,Convertible,118/160,1985,4,2,Left (LHD),Manual,5,Front,Disc,Disc,Petrol,"12,096"
5192,MG,Cortina,MGC GT,W 109,06/1969,1969,"73,657 mls",Not provided,Not provided,Not provided,No,3,Coupe,108/147,2912,6,2,Left (LHD),Manual,Not provided,Rear,Disc,Drum,Petrol,"25,150"
5193,Mini,Camaro,Cooper 1.3i MPI,W 105,04/1999,1999,"70,502 km",Not provided,Not provided,Not provided,No,> 6,Small car (Small Car),46/63,1275,4,2,Left (LHD),Manual,Not provided,Front,Disc,Disc,Petrol,"19,058"
5194,Ford,Model T,Mustang 289,R 107,09/1966,1966,"15,998 mls",Not provided,Not provided,Not provided,No,1,Coupe (Hardtop),140/190,4736,8,2,Left (LHD),Automatic,Not provided,Rear,Not provided,Not provided,Petrol,"26,020"
5195,Jaguar,SM,XJ 6 4.2,C 126,02/1970,1970,"86,155 mls",Not provided,Not provided,Not provided,No,2,Saloon (4-doors),180/245 (Factory: 137/186),4235,6,4,Left (LHD),Automatic,Not provided,Rear,Not provided,Not provided,Petrol,"9,486"
5196,Mini,Mk II,1000,C 107,02/1986,1986,"63,381 km",Not provided,Not provided,Not provided,No,3,Saloon (2-doors),29/40,998,4,2,Left (LHD),Manual,4,Front,Not provided,Not provided,Petrol,"9,486"
5197,Mini,SL-Class,Cooper 1.3i MPI,C 107,12/2000,2000,"20,577 km",Not provided,Not provided,Not provided,No,2,Small car (Small Car),40/54 (Factory: 46/63),1275,4,2,Left (LHD),Manual,Not provided,Front,Disc,Disc,Petrol,"11,226"
5198,Mini,E-Type,Cooper 1.3i MPI,Typ H,06/1998,1998,"108,234 km",Not provided,Not provided,Not provided,No,> 6,Small car (Small Car),46/63,1275,4,0,Left (LHD),Manual,Not provided,Front,Disc,Disc,Petrol,"17,318"
5199,Mini,SL-Class,Cooper 1.3i MPI,Typ H,10/1999,1999,"60,972 km",Not provided,Not provided,Not provided,No,1,Small car (Small Car),46/63,1275,4,2,Left (LHD),Manual,Not provided,Front,Disc,Disc,Petrol,"21,669"
5200,Saab,6C,900 Turbo,ID20F,02/1993,1993,"159,333 mls",Not provided,Not provided,Not provided,No,> 6,Convertible,107/145,1985,4,2,Left (LHD),Manual,5,Front,Not provided,Not provided,Petrol,"11,226"
5201,Honda,126,N 600 Touring,Typ H,10/1968,1968,"69,696 km",Not provided,Not provided,Not provided,No,> 6,Saloon (2-doors),31/42,598,2,2,Left (LHD),Manual,4,Rear,Not provided,Not provided,Petrol,"5,134"
5202,Alfa Romeo,Giulietta,2000 Spider Veloce,"""Urmodell""",02/1979,1979,"60,349 mls",Not provided,Not provided,Not provided,No,5,Convertible,82/111 (Factory: 93/127),1962,4,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,"18,188"
5203,MG,2300,MGA 1600,S3,02/1961,1961,967 mls,Not provided,Not provided,Not provided,No,2,Convertible (Roadster),58/79,1588,4,2,Left (LHD),Manual,Not provided,Rear,Not provided,Not provided,Petrol,"28,282"
5204,Alfa Romeo,750,164 2.0 Super,W 203,07/1996,1996,"191,000 km",Not provided,Not provided,Not provided,No,Not provided,Saloon (4-doors),106/144,1995,4,4,Left (LHD),Manual,Not provided,Front,Disc,Disc,Petrol,"2,524"
5205,Lancia,75,Fulvia 1.3 S,W 100,02/1972,1972,"130,000 km",Not provided,Not provided,Not provided,No,Not provided,Coupe,66/90,1298,4,2,Left (LHD),Manual,5,Front,Disc,Not provided,Petrol,"17,318"
5206,Alfa Romeo,Giulia,Alfetta 2.0,993,08/1977,1977,"99,000 km",Not provided,Not provided,Not provided,No,Not provided,Saloon,90/122,1962,4,4,Left (LHD),Manual,Not provided,Rear,Not provided,Not provided,Not provided,"8,615"
5207,Volkswagen,500,Golf III GTI 2.0,ADO 30,07/1992,1992,"238,000 km",Not provided,Not provided,Not provided,No,Not provided,Saloon,85/115,1984,4,3,Left (LHD),Manual,5,Front,Disc,Disc,Petrol,"4,264"
5208,Autobianchi,124,500 Nuova Giardiniera,C 124,11/1969,1969,"146,000 km",Not provided,Not provided,Not provided,No,Not provided,Small car (Estate),13/18,499,2,4,Left (LHD),Manual,4,Not provided,Not provided,Not provided,Not provided,"6,875"
5209,Alfa Romeo,330,33 - 1.3 Sportwagon,Typ 15,04/1994,1994,"60,000 km",Not provided,Not provided,Not provided,No,Not provided,Estate,66/90,1351,4,5,Left (LHD),Manual,Not provided,Not provided,Not provided,Not provided,Petrol,"2,524"
5210,Renault,Consul,R 4 TL,Serie I,02/1992,1992,"181,000 km",Not provided,Not provided,Not provided,No,Not provided,Saloon,25/34,956,4,5,Left (LHD),Manual,4,Not provided,Not provided,Not provided,Petrol,"5,134"
5211,Volkswagen,911,Golf III 1.6,"""Urmodell""",Not provided,1995,Not provided,Not provided,Not provided,Not provided,No,Not provided,Saloon,74/100,1595,4,Not provided,Left (LHD),Manual,Not provided,Front,Disc,Drum,Petrol,"2,524"
5212,FIAT,205,500 L,"""Urmodell""",07/1969,1969,"81,000 km",Not provided,Not provided,Not provided,No,Not provided,Saloon (2-doors),13/18,499,2,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,"8,615"
5213,FIAT,Bianchina,500 Giardiniera,964,07/1966,1966,"157,000 km",Not provided,Not provided,Not provided,No,Not provided,Estate,13/18,499,2,3,Left (LHD),Manual,Not provided,Rear,Drum,Drum,Petrol,"12,096"
5214,Volkswagen,Macan,Golf III GTI 2.0,Serie 1,10/1993,1993,"208,000 km",Not provided,Not provided,Not provided,No,Not provided,Saloon,85/115,2000,4,3,Left (LHD),Manual,5,Front,Disc,Disc,Petrol,"5,134"
5215,FIAT,911,Uno 45,C 107,01/1987,1987,"90,000 km",Not provided,Not provided,Not provided,No,Not provided,Small car (Small Car),33/45,999,4,5,Left (LHD),Manual,Not provided,Front,Disc,Not provided,Petrol,"6,875"
5216,Citroën,Spider,Visa,P6B,07/1981,1981,"108,000 km",Not provided,Not provided,Not provided,No,Not provided,Saloon (5-doors),25/34,652,2,5,Left (LHD),Manual,Not provided,Front,Not provided,Not provided,Not provided,"2,524"
5217,FIAT,Mini,600 D,E63,04/1966,1966,"138,000 km",Not provided,Not provided,Not provided,No,Not provided,Saloon (2-doors),24/33 (Factory: 18/25),767,4,2,Left (LHD),Manual,Not provided,Rear,Not provided,Not provided,Petrol,"8,615"
5218,Lancia,Spider,Beta Coupe 1300,LK,11/1981,1981,"92,000 km",Not provided,Not provided,Not provided,No,Not provided,Coupe,62/84,1366,4,2,Left (LHD),Manual,Not provided,Front,Not provided,Not provided,Petrol,"8,615"
5219,Volkswagen,1400,Polo II 1300i GT,Series II,01/1993,1993,"138,000 km",Not provided,Not provided,Not provided,No,Not provided,Saloon (3-doors),56/76,1272,4,3,Left (LHD),Manual,5,Rear,Not provided,Not provided,Petrol,"2,524"
